Ticker,Current Price,DCF Value,MC Mean,MC P10 (Bear),MC P90 (Bull),Margin of Safety (%),Win Probability (%)
BMY,55.05,260.72317857838027,282.776266952589,204.60293981211072,380.8553424394507,413.6716929202344,100.0
MRK,110.27,362.5915749645168,378.43502310987924,277.25971423289343,496.65093451151444,243.18946504931466,100.0
ELV,345.74,777.9712000203984,810.1551205282096,585.7716676112778,1070.2151890826128,134.32496110609407,99.99
MCK,831.21,1772.9363806576318,1826.846324832195,1403.791947845337,2312.9797289969483,119.78156240086079,100.0
AMGN,341.88,713.3230085735162,740.127600589847,542.9017797574064,967.5365075325419,116.4875396600699,99.99
GILD,141.95,245.77719068217647,260.78455350302727,204.70427512458548,326.4129460174425,83.71578267208686,100.0
COR,359.22,506.7528868819585,517.393149563928,410.5449377951909,635.9567374294236,44.03238950056454,98.28
JNJ,227.25,237.38490309760064,252.44348023989178,196.22842932818833,318.939513888252,11.08623992954534,65.9
VRTX,469.9,48.912977902551376,50.20861952331004,40.790165636357116,61.08600687910175,-89.31504159963607,0.0
LLY,1037.15,-13.20360687142289,3.0590073388110564,0.22504623507668398,7.685462874028492,-99.70505642011176,0.0
